,topic,username,repo_name,repo_desc,stars,repo_url,tags
0,3D,mrdoob,three.js,JavaScript 3D Library.,96587,https://github.com/mrdoob/three.js,"['javascript', 'svg', 'webgl', 'html5', 'canvas', 'augmented-reality', 'webaudio', 'virtual-reality', 'webgl2', '3d', 'webgpu', 'webxr']"
1,3D,pmndrs,react-three-fiber,🇨🇭 A React renderer for Three.js,24846,https://github.com/pmndrs/react-three-fiber,"['react', 'threejs', 'animation', 'renderer', 'fiber', '3d']"
2,3D,libgdx,libgdx,Desktop/Android/HTML5/iOS Java game development framework,22328,https://github.com/libgdx/libgdx,"['android', 'game', 'java', 'windows', 'linux', 'ios', 'gamedev', 'framework', 'html5', 'cross-platform', 'game-engine', 'libgdx', 'game-development', 'macosx', '3d', '2d']"
3,3D,BabylonJS,Babylon.js,"Babylon.js is a powerful, beautiful, simple, and open game and rendering engine packed into a friendly JavaScript framework.",21844,https://github.com/BabylonJS/Babylon.js,"['webgl', 'typescript', 'game-engine', 'webvr', 'game-development', 'webaudio', 'babylon', 'webgl2', 'game-engine-3d', '3d', 'webgpu', 'webxr']"
4,3D,ssloy,tinyrenderer,A brief computer graphics / rendering course,18606,https://github.com/ssloy/tinyrenderer,"['learning', 'c-plus-plus', 'fun', 'tutorial', 'opengl', 'cpp', 'shaders', 'picture', 'graphics', 'software-rendering', 'engine', 'rendering', 'images', 'computer-graphics', 'pixels', 'rasterizer', 'rendering-engine', 'rendering-pipeline', '3d', '3d-graphics']"
5,3D,lettier,3d-game-shaders-for-beginners,"🎮 A step-by-step guide to implementing SSAO, depth of field, lighting, normal mapping, and more for your 3D game.",16518,https://github.com/lettier/3d-game-shaders-for-beginners,"['gamedev', 'webgl', 'opengl', 'unity', 'shaders', 'graphics', 'vulkan', 'game-development', 'glsl', 'shader', 'unity3d', 'godot', 'graphics-programming', 'hlsl', 'panda3d', 'glsl-shader', 'indiedev', 'glsl-shaders', '3d', '3d-graphics']"
6,3D,FreeCAD,FreeCAD,"This is the official source code of FreeCAD, a free and opensource multiplatform 3D parametric modeler.",16108,https://github.com/FreeCAD/FreeCAD,"['windows', 'linux', 'engineering', 'architecture', 'cad', 'mac-osx', 'fem', 'coin', 'bim', 'freecad', '3d-printing', '3d', 'opencascade']"
7,3D,aframevr,aframe,🅰️ Web framework for building virtual reality experiences.,15896,https://github.com/aframevr/aframe,"['html', 'gamedev', 'webgl', 'threejs', 'game-engine', 'augmented-reality', 'vr', 'webvr', 'virtualreality', 'vive', 'oculus', 'rift', 'game-development', 'ecs', 'aframe', 'virtual-reality', 'metaverse', 'daydream', '3d', 'webxr']"
8,3D,CesiumGS,cesium,An open-source JavaScript library for world-class 3D globes and maps 🌎,11372,https://github.com/CesiumGS/cesium,"['webgl', 'geospatial', 'gis', 'cesium', 'czml', 'gltf', '3d', '3d-globe', '3d-tiles']"
9,3D,blender,blender,Official mirror of Blender,10473,https://github.com/blender/blender,"['animation', 'rendering', 'computer-graphics', 'modeling', 'b3d', '3d']"
10,3D,MonoGame,MonoGame,One framework for creating powerful cross-platform games.,10445,https://github.com/MonoGame/MonoGame,"['c-sharp', 'open-source', 'gamedev', 'xna', 'csharp', 'cross-platform', 'game-engine', 'dotnet', 'graphics', 'game-development', 'game-framework', 'monogame', 'hacktoberfest', '3d']"
11,3D,metafizzy,zdog,"Flat, round, designer-friendly pseudo-3D engine for canvas & SVG",10137,https://github.com/metafizzy/zdog,"['svg', 'canvas', '3d']"
12,3D,isl-org,Open3D,Open3D: A Modern Library for 3D Data Processing,9908,https://github.com/isl-org/Open3D,"['visualization', 'python', 'machine-learning', 'arm', 'gui', 'opengl', 'cpp', 'tensorflow', 'gpu', 'rendering', 'computer-graphics', 'cuda', 'pytorch', 'registration', 'reconstruction', '3d', 'odometry', 'pointcloud', 'mesh-processing', '3d-perception']"
13,3D,timzhang642,3D-Machine-Learning,A resource repository for 3D machine learning,9287,https://github.com/timzhang642/3D-Machine-Learning,"['machine-learning', 'voxel', 'point-cloud', 'primitives', 'mesh', 'neural-networks', 'papers', 'constructive-solid-geometries', '3d', '3d-reconstruction']"
14,3D,a1studmuffin,SpaceshipGenerator,A Blender script to procedurally generate 3D spaceships,7508,https://github.com/a1studmuffin/SpaceshipGenerator,"['python', 'procedural-generation', 'blender-scripts', 'game-development', '3d', 'spaceship']"
15,3D,nerfstudio-project,nerfstudio,A collaboration friendly studio for NeRFs,7344,https://github.com/nerfstudio-project/nerfstudio,"['machine-learning', 'computer-vision', 'deep-learning', 'pytorch', 'photogrammetry', 'nerf', '3d', '3d-reconstruction', '3d-graphics']"
